,QE_I04,QE_I05,QE_I08,NT_GER,QE_I04n,QE_I05n,QE_I08n
778,A,A,A,30.3,1,1,1
779,E,C,C,49.5,5,3,3
780,D,D,C,45.6,4,4,3
781,B,D,A,39.5,2,4,1
782,A,F,A,41.9,1,6,1
783,C,B,B,49.2,3,2,2
784,B,B,B,34.9,2,2,2
785,D,B,A,47.9,4,2,1
786,A,D,A,56.4,1,4,1
787,D,C,B,40.0,4,3,2
788,A,A,A,45.3,1,1,1
789,D,D,A,54.7,4,4,1
790,B,C,C,51.2,2,3,3
791,B,B,A,42.2,2,2,1
792,F,E,C,57.9,6,5,3
793,C,B,B,51.4,3,2,2
794,D,C,B,62.5,4,3,2
795,E,D,B,48.6,5,4,2
796,D,D,A,62.8,4,4,1
797,B,B,A,42.6,2,2,1
798,E,F,C,59.2,5,6,3
799,C,E,B,58.7,3,5,2
800,E,F,F,66.2,5,6,6
801,D,F,D,80.8,4,6,4
802,A,C,A,47.0,1,3,1
803,B,B,A,40.7,2,2,1
804,C,D,A,54.4,3,4,1
805,B,B,A,48.9,2,2,1
806,C,D,B,52.5,3,4,2
807,D,D,A,34.5,4,4,1
808,B,C,A,41.5,2,3,1
809,E,D,C,45.5,5,4,3
810,A,B,A,64.8,1,2,1
811,B,E,B,29.9,2,5,2
812,B,B,C,38.7,2,2,3
813,D,A,A,59.0,4,1,1
814,B,A,B,50.4,2,1,2
815,E,F,A,43.7,5,6,1
816,B,B,A,55.2,2,2,1
817,D,D,A,70.7,4,4,1
818,C,B,A,49.2,3,2,1
819,B,B,A,53.5,2,2,1
820,B,B,A,47.4,2,2,1
821,B,C,B,37.4,2,3,2
822,E,C,A,63.3,5,3,1
823,A,A,B,36.8,1,1,2
824,C,C,A,50.2,3,3,1
825,D,D,A,38.5,4,4,1
826,A,B,A,56.7,1,2,1
827,A,A,A,41.6,1,1,1
828,A,D,A,45.3,1,4,1
829,D,B,C,60.1,4,2,3
830,A,B,A,41.6,1,2,1
831,A,B,A,61.9,1,2,1
832,B,B,A,60.7,2,2,1
833,B,B,A,60.7,2,2,1
834,A,B,B,62.4,1,2,2
835,D,B,A,41.2,4,2,1
836,D,D,D,74.3,4,4,4
837,D,F,C,63.8,4,6,3
838,D,C,A,54.7,4,3,1
839,D,D,B,64.6,4,4,2
840,B,D,A,78.1,2,4,1
841,B,D,A,63.5,2,4,1
842,C,D,A,61.0,3,4,1
843,A,C,A,21.0,1,3,1
844,B,C,A,37.3,2,3,1
845,B,B,A,33.9,2,2,1
846,E,C,A,40.8,5,3,1
847,B,D,A,39.5,2,4,1
848,B,C,B,55.1,2,3,2
849,B,B,B,33.1,2,2,2
850,D,E,C,58.8,4,5,3
851,D,D,D,37.3,4,4,4
852,D,C,A,33.0,4,3,1
853,D,F,A,52.8,4,6,1
854,A,D,B,32.8,1,4,2
855,B,D,B,56.5,2,4,2
856,F,B,C,46.0,6,2,3
857,B,B,B,37.5,2,2,2
858,C,F,A,45.0,3,6,1
859,B,E,B,50.4,2,5,2
860,B,B,C,44.0,2,2,3
861,B,C,B,40.1,2,3,2
862,D,A,A,50.0,4,1,1
863,D,E,B,47.1,4,5,2
864,D,B,A,49.6,4,2,1
865,D,E,A,54.5,4,5,1
866,D,D,A,24.0,4,4,1
867,D,D,A,48.1,4,4,1
868,F,F,F,30.7,6,6,6
869,B,E,B,56.8,2,5,2
870,E,D,B,44.2,5,4,2
871,E,E,A,28.5,5,5,1
872,D,E,B,39.1,4,5,2
873,D,F,B,41.8,4,6,2
874,B,D,B,33.9,2,4,2
875,E,F,D,58.3,5,6,4
876,B,C,B,45.4,2,3,2
877,C,C,C,53.1,3,3,3
878,E,E,E,42.7,5,5,5
879,B,C,B,44.9,2,3,2
880,D,D,B,69.2,4,4,2
881,B,C,A,27.8,2,3,1
882,D,D,C,36.3,4,4,3
883,E,F,B,46.2,5,6,2
884,C,D,C,55.6,3,4,3
885,D,C,F,55.8,4,3,6
886,A,D,A,19.1,1,4,1
887,C,D,A,55.9,3,4,1
888,D,F,B,46.7,4,6,2
889,D,E,E,27.3,4,5,5
890,F,F,G,51.4,6,6,7
891,E,F,G,51.1,5,6,7
